accuracy,loss,val_accuracy,val_loss
0.9873700141906738,0.03529191389679909,0.9896142482757568,0.037130214273929596
0.9996285438537598,0.0028567041736096144,0.9955489635467529,0.024298641830682755
1.0,0.0005633178516291082,0.9955489635467529,0.029417840763926506
0.9996285438537598,0.0010857594897970557,0.9955489635467529,0.0347483828663826
0.9988855719566345,0.004581797868013382,0.9940652847290039,0.02028401754796505
0.9996285438537598,0.001581690856255591,0.9955489635467529,0.03433147445321083
0.9992570877075195,0.002473013009876013,0.9955489635467529,0.03703625127673149
0.9933135509490967,0.018238145858049393,0.9910979270935059,0.02708049863576889
0.9977712035179138,0.004455513320863247,0.9673590660095215,0.08395032584667206
0.998142659664154,0.006400991231203079,0.9955489635467529,0.037313107401132584
